signature,returns,anon_exec,auth_exec,search_path_pinned,references_auth_uid,ownership_check,writes,used_by_policy,used_by_trigger,used_by_cron,app_callers,edge_callers,risk
"bulk_deal_pledge_claim_deposit(p_deal_id text, p_method text, p_reference text)",bulk_deal_pledges,false,true,true,true,true,true,false,false,false,,,LOW
"bulk_deal_pledge_confirm_deposit(p_deal_id text, p_pledger_user_id text)",bulk_deal_pledges,false,true,true,true,true,true,false,false,false,,,LOW
"bulk_deal_pledge_join(p_deal_id text, p_quantity integer, p_notes text, p_delivery_address text)",bulk_deals,false,true,true,true,true,true,false,false,false,,,LOW
bulk_deal_pledge_leave(p_deal_id text),bulk_deals,false,true,true,true,false,true,false,false,false,,,HIGH
"bulk_deal_pledge_reject_deposit(p_deal_id text, p_pledger_user_id text)",bulk_deal_pledges,false,true,true,true,true,true,false,false,false,,,LOW
bulk_deal_redemption_stats(p_deal_id text),"TABLE(total integer, redeemed integer, pending integer)",false,true,true,false,false,false,false,false,false,,,MEDIUM
"bulk_deal_token_redeem(p_token_code text, p_business_id text)",bulk_deal_tokens,false,true,true,true,true,true,false,false,false,,,LOW
bulk_deal_tokens_for_deal(p_deal_id text),SETOF bulk_deal_tokens,false,true,true,true,true,false,false,false,false,,,LOW
"bump_business_metric(p_business_id text, p_metric text)",void,false,true,true,false,false,true,false,false,false,src/services/marketplace/businessService.ts,,HIGH
bump_provider_views(p_provider_id text),void,false,true,true,false,false,true,false,false,false,src/services/marketplace/providerService.ts,,HIGH
bump_queue_line_changed(),trigger,false,false,true,false,false,true,false,true,false,,,LOW
business_active_deliveries(p_business_id text),"TABLE(id text, appointment_id text, status text, live_status text, agent_user_id text, agent_name text, agent_avatar text, agent_phone text, customer_name text, delivery_address_line text, delivery_lat double precision, delivery_lng double precision, delivery_eta_text text, scheduled_for timestamp with time zone, date_label text, time_label text, batch_id text, stop_order integer, batch_status text, agent_lat double precision, agent_lng double precision, agent_heading double precision, handoff_verified boolean, created_at timestamp with time zone, delivered_at timestamp with time zone)",false,true,true,true,true,false,false,false,false,,,LOW
"business_login_attempt(p_login_id text, p_password text)","TABLE(status text, business_id text, session_id uuid, business_name text)",false,true,true,true,true,true,false,false,false,src/services/marketplace/businessAccessService.ts,,LOW
business_slot_capacities(p_business_id text),"TABLE(package_id text, slot_capacity integer, max_party_size integer)",false,true,true,false,false,false,false,false,false,,,MEDIUM
can_comment_on_post(p_post_id text),boolean,false,true,true,true,false,false,post_comments.insert_own_post_comment,false,false,,,LOW
can_manage_business(p_business_id text),boolean,true,true,true,true,true,false,false,false,false,,,LOW
can_react_to_comment(p_comment_id text),boolean,false,true,true,false,false,false,comment_reactions.insert_own_comment_reaction; comment_reactions.update_own_comment_reaction,false,false,,,LOW
"cancel_delivery(p_delivery_id text, p_reason text, p_note text)",void,false,true,true,true,true,true,false,false,false,,,LOW
cancel_expired_agreements(),void,false,true,true,false,true,true,false,false,false,src/services/engagement/requestService.ts,,LOW
check_bulk_deal_target_and_close(p_deal_id text),void,false,false,true,false,false,false,false,false,false,,,LOW
check_self_vouch(),trigger,false,true,true,false,false,false,false,true,false,,,LOW
claim_first_admin(p_login_id text),void,false,true,true,true,false,false,false,false,false,src/services/core/adminService.ts,,LOW
"clear_entity_password(p_kind text, p_current_password text)",void,false,true,true,true,true,true,false,false,false,,,LOW
clear_switch_pin(p_current_pin text),void,false,true,true,true,false,true,false,false,false,,,HIGH
close_expired_bulk_deals(),void,false,true,true,false,false,false,false,false,true,,,LOW
close_expired_business_sessions(),void,false,true,true,false,false,true,false,false,true,src/services/marketplace/businessAccessService.ts,,HIGH
close_expired_requests(),void,false,true,true,false,false,true,false,false,false,src/services/engagement/requestService.ts,,HIGH
close_stale_queue_tokens(),void,false,true,true,false,true,true,false,false,false,src/services/marketplace/businessService.ts,,LOW
comment_gate_reason(p_post_id text),text,false,true,true,true,false,false,false,false,false,,,LOW
community_comment_delete(p_id text),void,false,true,true,true,false,true,false,false,false,,,HIGH
"community_comment_set_pinned(p_id text, p_pinned boolean)",post_comments,false,true,true,true,false,true,false,false,false,,,HIGH
"community_comment_update(p_id text, p_body text)",post_comments,false,true,true,true,false,true,false,false,false,,,HIGH
community_poll_close(p_id text),community_posts,false,true,true,true,false,true,false,false,false,,,HIGH
"community_post_add_recommendation(p_post_id text, p_listing_type text, p_listing_id text, p_by_name text)",community_posts,false,true,true,true,false,true,false,false,false,,,HIGH
community_post_delete(p_id text),void,false,true,true,true,false,true,false,false,false,,,HIGH
"community_post_set_profile_visibility(p_id text, p_show boolean)",community_posts,false,true,true,true,false,true,false,false,false,,,HIGH
"community_post_set_resolved(p_id text, p_resolved boolean)",community_posts,false,true,true,true,false,true,false,false,false,,,HIGH
"community_post_update(p_id text, p_title text, p_body text, p_image text, p_media text[], p_image_alt text, p_last_seen text, p_reward text, p_pickup_note text, p_tagged_listing jsonb, p_clear_tagged_listing boolean, p_comment_policy text, p_hide_like_count boolean)",community_posts,false,true,true,true,false,true,false,false,false,,,HIGH
"confirm_handoff(p_delivery_id text, p_code text)",boolean,false,true,true,true,true,true,false,false,false,,,LOW
count_my_active_deliveries(p_business_id text),integer,false,true,true,true,true,false,false,false,false,,,LOW
create_settlements_on_complete(),trigger,false,false,true,false,true,true,false,true,false,,,LOW
custom_payment_confirm(p_id text),custom_payments,false,true,true,true,true,true,false,false,false,src/services/marketplace/customPaymentService.ts,,LOW
"custom_payment_create(p_target_type text, p_target_id text, p_amount numeric, p_method text, p_note text, p_reference text)",custom_payments,false,true,true,true,true,true,false,false,false,src/services/marketplace/customPaymentService.ts,,LOW
custom_payment_reject(p_id text),custom_payments,false,true,true,true,true,true,false,false,false,src/services/marketplace/customPaymentService.ts,,LOW
"decide_business_session(p_session_id uuid, p_approve boolean)",void,false,true,true,true,true,true,false,false,false,src/services/marketplace/businessAccessService.ts,,LOW
decline_delivery_batch(p_batch_id text),delivery_batches,false,true,true,true,true,true,false,false,false,,,LOW
delete_business(p_business_id text),void,false,true,true,true,true,true,false,false,false,,,LOW
enforce_business_location_freeze(),trigger,false,true,true,false,true,false,false,true,false,,,LOW
enforce_places_status_freeze(),trigger,false,true,true,false,true,false,false,true,false,,,LOW
enforce_queue_open_on_join(),trigger,false,false,true,false,true,false,false,true,false,,,LOW
expire_tokens_on_queue_close(),trigger,false,false,true,false,true,true,false,true,false,,,LOW
get_delivery_duty(),boolean,false,true,true,true,false,false,false,false,false,,,LOW
get_entity_recovery_question(p_kind text),"TABLE(question_id text, question_text text)",false,true,true,true,false,false,false,false,false,,,MEDIUM
get_live_share(p_share_id text),"TABLE(id text, sharer_user_id text, sharer_name text, sharer_avatar text, status text, lat double precision, lng double precision, accuracy double precision, heading double precision, updated_at timestamp with time zone, started_at timestamp with time zone, ended_at timestamp with time zone)",true,true,true,true,false,false,false,false,false,src/services/engagement/emergencyService.ts,,MEDIUM
"get_nearby_user_ids(p_lat double precision, p_lng double precision, p_radius_km double precision)",SETOF text,false,true,true,false,true,false,false,false,false,src/services/core/adminService.ts,,LOW
get_own_coords(),"TABLE(lat double precision, lng double precision)",false,true,true,true,false,false,false,false,false,src/services/engagement/communityService.ts; src/services/marketplace/businessService.ts; src/services/marketplace/providerService.ts,,MEDIUM
get_own_profile(),SETOF users,false,true,true,true,false,false,false,false,false,src/services/core/userService.ts,,MEDIUM
get_public_profile(target_id text),"TABLE(id text, name text, phone text, avatar text, area text, rating_avg numeric, rating_count integer, created_at timestamp with time zone, show_posts_publicly boolean, show_asks_publicly boolean, show_badges_publicly boolean, show_phone_publicly boolean, show_city_publicly boolean, show_rating_publicly boolean, distance_km numeric, email text, show_email_publicly boolean, show_name_publicly boolean, alias text)",true,true,true,true,false,false,false,false,false,src/services/core/userService.ts,,MEDIUM
get_shared_location(p_target text),"TABLE(lat double precision, lng double precision)",false,true,true,true,true,false,false,false,false,src/services/engagement/locationService.ts,,LOW
get_tracking(p_token text),"TABLE(agreement_id text, provider_lat double precision, provider_lng double precision, live_status text, provider_name text, provider_avatar text, stops_before integer, dest_lat double precision, dest_lng double precision)",true,true,true,false,true,false,false,false,false,src/screens/TrackingPage.tsx,,LOW
"grant_business_access(p_business_id text, p_identifier text)","TABLE(session_id uuid, grantee_name text)",false,true,true,true,true,true,false,false,false,src/services/marketplace/businessAccessService.ts,,LOW
"grant_team_access(p_business_id text, p_identifier text, p_scopes text[])","TABLE(session_id uuid, grantee_name text)",false,true,true,true,true,true,false,false,false,,,LOW
"grant_team_member_access(p_business_id text, p_identifier text, p_scopes text[])","TABLE(session_id uuid, grantee_name text)",false,true,true,true,true,true,false,false,false,,,LOW
"group_buy_issue_tokens(p_request_id text, p_agreement_id text, p_business_id text, p_unit_price numeric, p_valid_until timestamp with time zone)",integer,false,true,true,true,true,true,false,false,false,,,LOW
"group_buy_join(p_request_id text, p_quantity integer, p_notes text, p_delivery_address text)",requests,false,true,true,true,false,true,false,false,false,,,HIGH
group_buy_leave(p_request_id text),requests,false,true,true,true,false,true,false,false,false,,,HIGH
group_buy_redemption_stats(p_agreement_id text),"TABLE(total integer, redeemed integer, pending integer)",false,true,true,false,false,false,false,false,false,src/services/marketplace/bulkService.ts,,MEDIUM
group_buy_token_redeem(p_token_code text),group_buy_tokens,false,true,true,true,true,true,false,false,false,src/services/marketplace/bulkService.ts,,LOW
group_buy_tokens_for_agreement(p_agreement_id text),SETOF group_buy_tokens,false,true,true,true,true,false,false,false,false,src/services/marketplace/bulkService.ts,,LOW
handle_new_auth_user(),trigger,false,false,true,false,false,true,false,true,false,,,LOW
"has_business_access(p_business_id text, p_uid text)",boolean,false,true,true,false,true,false,bulk_deal_pledges.read_bulk_deal_pledges; bulk_deal_tokens.read_bulk_deal_tokens,false,false,,,LOW
"has_business_full_access(p_business_id text, p_uid text)",boolean,false,true,true,false,true,false,loyalty_cards.delegated_access_loyalty; businesses.admin_upd_businesses,false,false,,,LOW
"has_business_scope(p_business_id text, p_uid text, p_scope text)",boolean,false,true,true,false,true,false,appointment_deliveries.appointment_deliveries_select; custom_payments.select_custom_payments; appointments.appt_select; appointments.appt_update; blocked_slots.blocked_slots_write; business_portfolio_items.delegated_access_biz_portfolio; business_qna.upd_qna; catalog_items.delegated_access_catalog; offers.write_offers; queue_settings.delegated_access_queue_settings; queue_tokens.queue_tokens_owner_update; bulk_deals.write_bulk_deals; proposals.read_proposals; agreements.read_agreements; queue_tokens.delegated_access_queue_tokens; business_qna.delegated_access_qna; delivery_batches.delivery_batches_select; delivery_agent_duty.delivery_agent_duty_select,false,false,,,LOW
"increment_stamp(p_card_id text, p_user_id text)",jsonb,false,true,true,true,false,true,false,false,false,src/services/engagement/walletService.ts,,HIGH
is_admin(),boolean,true,true,true,true,false,false,users.read_users; custom_payments.select_custom_payments; places.select_places; places.insert_places; places.update_places_admin; bulk_deals.read_bulk_deals; group_buy_tokens.read_group_buy_tokens; bulk_deals.write_bulk_deals; proposals.read_proposals; profile_deletion_requests.update_deletion_requests_admin; bulk_deal_pledges.read_bulk_deal_pledges; bulk_deal_tokens.read_bulk_deal_tokens; businesses.read_businesses; profile_deletion_requests.delete_own_deletion_requests; profile_deletion_requests.read_own_deletion_requests; providers.read_providers,false,false,,,LOW
