signature,returns,anon_exec,auth_exec,search_path_pinned,references_auth_uid,ownership_check,writes,used_by_policy,used_by_trigger,used_by_cron,app_callers,edge_callers,risk
tg_delivery_batch_in_progress(),trigger,false,false,true,false,false,true,false,true,false,,,LOW
trg_bulk_deal_pledge_check_target(),trigger,false,true,true,false,false,false,false,true,false,,,LOW
"update_delivery_batch_position(p_batch_id text, p_lat double precision, p_lng double precision, p_accuracy double precision, p_heading double precision)",void,false,true,true,true,true,true,false,false,false,,,LOW
"update_delivery_position(p_delivery_id text, p_lat double precision, p_lng double precision, p_accuracy double precision, p_heading double precision)",void,false,true,true,true,true,true,false,false,false,,,LOW
"update_live_share(p_lat double precision, p_lng double precision, p_accuracy double precision, p_heading double precision)",void,false,true,true,true,false,true,false,false,false,src/services/engagement/emergencyService.ts,,HIGH
update_rating_avg(),trigger,false,false,true,false,false,true,false,true,false,,,LOW
"update_team_member_scopes(p_session_id uuid, p_scopes text[])",void,false,true,true,true,true,true,false,false,false,,,LOW
"verify_business_password(p_business_id text, p_password text)",boolean,false,true,true,true,true,false,false,false,false,,,LOW
"verify_provider_password(p_provider_id text, p_password text)",boolean,false,true,true,true,false,false,false,false,false,,,LOW
verify_switch_pin(p_pin text),boolean,false,true,true,true,false,true,false,false,false,,,HIGH
withdraw_proposal(p_proposal_id text),proposals,false,true,true,true,true,true,false,false,false,,,LOW
